time,delta,P
0.0,0.0,0.0
0.003000000026077032,0.003000000026077032,0.0032155431108549237
0.006000000052154064,0.006000000052154064,0.0064310862217098475
0.010499999858438969,0.010499999858438969,0.011254401411861181
0.017249999567866325,0.017249999567866325,0.018489372916519642
0.027374999597668648,0.027374999597668648,0.02934183180332184
0.04256249964237213,0.04256249964237213,0.045620519667863846
0.06534375250339508,0.06534375250339508,0.07003854960203171
0.09534375369548798,0.09534375369548798,0.10219398140907288
0.12534375488758087,0.12534375488758087,0.13434941321611404
0.15534375607967377,0.15534375607967377,0.1665048450231552
0.18534375727176666,0.18534375727176666,0.19866027683019638
0.21534374356269836,0.21534374356269836,0.23008298873901367
0.24534374475479126,0.24534374475479126,0.25001490116119385
0.27534374594688416,0.27534374594688416,0.2698651850223541
0.30534374713897705,0.30534374713897705,0.28971345722675323
0.33534374833106995,0.33534374833106995,0.30955904722213745
0.36534374952316284,0.36534374952316284,0.32940419018268585
0.39534375071525574,0.39534375071525574,0.34924912452697754
0.42534375190734863,0.42534375190734863,0.36909396946430206
0.45534375309944153,0.45534375309944153,0.3889387845993042
0.4853437542915344,0.4853437542915344,0.40878354012966156
0.5153437256813049,0.5153437256813049,0.4059709757566452
0.5453437566757202,0.5453437566757202,0.3964613229036331
0.5753437280654907,0.5753437280654907,0.38690905272960663
0.6000000238418579,0.6000000238418579,0.3769247382879257
