time,delta,P
0.0,0.0,0.0
0.029999999329447746,0.017999999225139618,0.019293258897960186
0.05999999865889549,0.035999998450279236,0.03858651779592037
0.10499999672174454,0.06300000101327896,0.06752640753984451
0.17249999940395355,0.10350000113248825,0.110936239361763
0.2524999976158142,0.15150000154972076,0.16238492727279663
0.33250001072883606,0.19949999451637268,0.21383362263441086
0.4124999940395355,0.24568335711956024,0.2502397671341896
0.4925000071525574,0.29089581966400146,0.28015585243701935
0.5724999904632568,0.3361071050167084,0.31006404757499695
0.6524999737739563,0.38131824135780334,0.33997130393981934
0.7325000166893005,0.42652931809425354,0.36987821757793427
0.8125,0.47174036502838135,0.39978501200675964
0.8924999833106995,0.5127446055412292,0.40678584575653076
0.9725000262260437,0.5494990944862366,0.39514462649822235
1.0525000095367432,0.5853875875473022,0.38088494539260864
1.1325000524520874,0.6207326054573059,0.37109626829624176
1.212499976158142,0.6560156345367432,0.3610987663269043
1.2925000190734863,0.6909027099609375,0.35187283158302307
1.372499942779541,0.7248496413230896,0.3432656228542328
