delta,P
0.0,0.0
0.010112359550561799,0.010731444245251257
0.020224719101123598,0.021462888490501875
0.030337078651685397,0.032194332735744596
0.040449438202247195,0.042925776981021735
0.050561797752808994,0.053657221226266705
0.06067415730337079,0.06438866547149891
0.07078651685393259,0.07512010971675542
0.08089887640449439,0.08585155396201682
0.0910112359550562,0.09658299820724725
0.10112359550561799,0.10731444245250821
0.11123595505617978,0.11804588669769767
0.12134831460674159,0.12877733094299593
0.1314606741573034,0.13950877518824512
0.14157303370786517,0.1502402194334449
0.15168539325842698,0.16097166367872306
0.16179775280898878,0.17170310792392773
0.1719101123595506,0.1824345521692603
0.1820224719101124,0.19285288577931015
0.19213483146067417,0.202507571578614
0.20224719101123598,0.21171892416251104
0.21235955056179778,0.22073096664109748
0.22247191011235956,0.22970381176055565
0.23258426966292137,0.23869977200609016
0.24269662921348317,0.24772671599377105
0.25280898876404495,0.2567767518777253
0.2629213483146068,0.2658417650859699
0.27303370786516856,0.27491638309077615
0.28314606741573034,0.28399739758511044
0.2932584269662922,0.2930828854248002
0.30337078651685395,0.30177475950060373
0.3134831460674158,0.3094695584427152
0.32359550561797756,0.3166321819170279
0.33370786516853934,0.3235811210094166
0.3438202247191012,0.33048491940500924
0.35393258426966295,0.33740573157373266
0.3640449438202248,0.34435535034703646
0.37415730337078656,0.3513295856633012
0.38426966292134834,0.3583219798408712
0.3943820224719102,0.3653274148735144
0.40449438202247195,0.37234236764779993
0.41460674157303373,0.3793644682803241
0.42471910112359557,0.38639209138616293
0.43483146067415734,0.39342408598174483
0.4449438202247191,0.40045961074914516
0.4550561797752809,0.4074980336247349
0.4651685393258427,0.41453886881725266
0.47528089887640446,0.4215817358150802
0.4853932584269663,0.4286263317646273
0.49550561797752807,0.43567241227963205
0.5056179775280898,0.44025591758394267
0.5157303370786517,0.4404408910235653
0.5258426966292135,0.4334317730390973
0.5359550561797752,0.42724227584557894
0.5460674157303371,0.41998780537703295
0.5561797752808988,0.40936958045360017
0.5662921348314607,0.3988236649768231
0.5764044943820225,0.4009603309988323
0.5865168539325842,0.40526628243587126
0.5966292134831461,0.40738868470392164
0.6067415730337078,0.4051077220447006
0.6168539325842697,0.3973617805394545
0.6269662921348315,0.3931709680723561
0.6370786516853932,0.38610952476845295
0.6471910112359551,0.37635336814684717
0.6573033707865168,0.3699488273703775
0.6674157303370787,0.37228462517411476
0.6775280898876405,0.3761228633658851
0.6876404494382022,0.37832597385276134
0.697752808988764,0.3773462335672422
0.7078651685393258,0.37092430137914434
0.7179775280898877,0.3668943278132222
0.7280898876404495,0.36170426878689366
0.7382022471910112,0.35387717701587285
0.748314606741573,0.3445893036414063
0.7584269662921348,0.345344470064993
0.7685393258426967,0.3485679523701277
0.7786516853932585,0.3516545308683954
0.7887640449438202,0.3531490918675475
0.798876404494382,0.3518003702673598
0.8089887640449438,0.3455307112238799
0.8191011235955057,0.34240793537551983
0.8292134831460675,0.3379097106282982
0.8393258426966292,0.3310663957712183
0.849438202247191,0.32276044373309176
0.8595505617977528,0.32312673269025627
0.8696629213483146,0.32576324935350964
0.8797752808988765,0.3288303479004604
0.8898876404494382,0.33089988410207916
0.9,0.331267921851766
