delta,P
0.0,0.0
0.010169491525423728,0.01079207387375361
0.020338983050847456,0.021584147747506333
0.030508474576271184,0.0323762216212673
0.04067796610169491,0.04316829549501289
0.05084745762711864,0.053960369368761474
0.06101694915254237,0.06475244324249968
0.07118644067796609,0.0755445171162481
0.08135593220338982,0.0863365909900029
0.09152542372881356,0.09712866486372906
0.10169491525423728,0.10792073873751917
0.111864406779661,0.1187128126113497
0.12203389830508474,0.1295048864851015
0.13220338983050847,0.14029696035877448
0.14237288135593218,0.1510890342324831
0.15254237288135591,0.16188110810628764
0.16271186440677965,0.17267318198018988
0.17288135593220338,0.1834652558537706
0.18305084745762712,0.19353329248266982
0.19322033898305083,0.20270599080177343
0.20338983050847456,0.21187549130518768
0.2135593220338983,0.22104257043563114
0.223728813559322,0.230207776255134
0.23389830508474574,0.23937151070589158
0.24406779661016947,0.2485340739444717
0.2542372881355932,0.25769569367360634
0.26440677966101694,0.26685654507908607
0.2745762711864407,0.27601676466289904
0.28474576271186436,0.28517646002165575
0.2949152542372881,0.29433571686497695
0.3050847457627119,0.3021731434796928
0.3152542372881356,0.30929425595833093
0.3254237288135593,0.3164124685591121
0.33559322033898303,0.32352831158622797
0.34576271186440677,0.3306421957185446
0.3559322033898305,0.3377544464386646
0.36610169491525424,0.3448653245009279
0.376271186440678,0.3519750407891382
0.3864406779661017,0.359083767321251
0.3966101694915254,0.3661916455173695
0.4067796610169492,0.37329879248948616
0.41694915254237286,0.3804053058748713
0.4271186440677966,0.38751126758561494
0.43728813559322033,0.39461674674628133
0.44745762711864406,0.40172180201184293
0.4576271186440678,0.40882648340191263
0.4677966101694915,0.4159308337939436
0.47796610169491527,0.42303489009827633
0.48813559322033895,0.4301386842306818
0.4983050847457627,0.4304501382017212
0.49848641698969404,0.43019122488303074
0.49912130685722594,0.4290801276515966
0.4997510489732354,0.42794748650617
0.5003765071919293,0.42679698880793515
0.5009983082539651,0.42563132342392684
0.501616955540663,0.42445264890201945
0.5022328564131009,0.4232627127062993
0.5028463432157784,0.42206294200152933
0.503457689373503,0.4208545127705161
0.5040671217418902,0.41963840258846535
0.5046748301152906,0.4184154310974244
0.5052809745801081,0.41718629122751183
0.5058856912358842,0.41595157345158085
0.5064890966718965,0.41471178473600023
0.5070912914956798,0.4134673634780936
0.5076923631299051,0.412218691341055
0.5082923880465462,0.4109661027208655
0.507285787405287,0.40654061087745863
0.5062683990374951,0.405725122618499
0.5052510263953134,0.40490972198435754
0.5042336590224216,0.404094350707677
0.5032162942945257,0.4032789941664568
0.5021989311593379,0.4024636464974892
0.5011815690892971,0.4016483047620636
0.5001642077820753,0.4008329672763938
0.4991468470486078,0.4000176329860282
0.49812948676247626,0.3992023011873245
