delta,R
0.0,0.0
0.00423728813559322,462.3905349190977
0.00847457627118644,924.7810698381704
0.012711864406779662,1386.3888512727033
0.01694915254237288,1836.9424523198688
0.0211864406779661,2274.879715436921
0.025423728813559324,2702.8991604581142
0.029661016949152543,3122.347805375275
0.03389830508474576,3534.304056805204
0.038135593220338986,3939.1008546252715
0.0423728813559322,4336.79092430206
0.046610169491525424,4727.165364716725
0.05084745762711865,5109.745057361306
0.05508474576271186,5483.741911176567
0.059322033898305086,5847.765944019002
0.0635593220338983,6200.286169285464
0.06779661016949153,6538.585592422692
0.07203389830508475,6859.013940672016
0.07627118644067797,7155.275904330692
0.08050847457627118,7415.792738170185
0.0847457627118644,7615.057460496205
0.08898305084745763,7657.375791329769
0.09322033898305085,7466.629456047658
0.09745762711864407,7317.403707281146
0.1016949152542373,7196.32452539824
0.1059322033898305,7095.498738791621
0.11016949152542373,7022.662458343375
0.11039095527781552,7018.708863910961
0.11060653071018468,7013.605343749701
0.11081555424873266,7007.233448503306
0.11102894850346809,7001.766299300411
0.11126287136335285,7000.46177334969
0.11149208963429369,6998.232644960152
0.11171618702901487,6995.003998748339
0.1119346968107057,6990.69269581048
0.11214708274193179,6985.204177515632
0.11238185908792242,6984.191839378287
0.11261989127433117,6983.859677885655
0.11285365997756208,6982.692651437583
0.11308193352242302,6980.47586468293
0.11330496925613393,6977.2520613134
0.11352242049486491,6972.959779150334
0.1137337440847043,6967.50450215654
0.11394244107307862,6961.571347234171
0.11417890539645498,6961.104537810501
0.11441036272311106,6959.686044649656
0.11463687308439136,6957.3246108681005
0.11485824926379842,6953.986472605348
0.11507401101001821,6949.588379149423
0.1152981708201744,6946.840978014924
0.11553837775531531,6947.26847233991
0.11577472066213594,6946.952483330607
0.11600688203381149,6945.836854780222
0.11623447259496522,6943.853615772037
0.11645611393867321,6940.7694092420215
0.11667226209979328,6936.659258028674
0.1168823760129816,6931.431337202173
0.11710343418301694,6928.307994359994
0.1173392172837327,6928.049597241224
0.1175708979175878,6927.015440982049
0.1177974266102921,6925.028036635594
0.11801870145498781,6922.069301203635
0.11823457120878529,6918.11259644962
0.1184645682259286,6916.86245241578
0.11870486983667611,6917.621098821464
0.11894152187870287,6917.6919067923445
0.11917422877661202,6917.023661577941
0.11940266284492755,6915.5600862833
0.1196264516453938,6913.237767342507
0.11984442012894903,6909.862450057935
0.12005639981753116,6905.405840380381
0.12027547816849318,6902.2911871527995
0.12051251230299721,6902.587316254221
0.12074575242550911,6902.179517180007
0.12097487755159486,6901.013109076246
0.12119945202185323,6899.015044203425
0.12141814376614518,6895.967579134268
0.12164043223369017,6893.607859496888
0.12188250381423793,6894.989861518836
0.12212126207194854,6895.758315980098
0.12235644247921743,6895.868099716248
0.12258775816181164,6895.2707240899545
0.1228148843735687,6893.911744559365
0.12303745143672919,6891.7297243005
0.12325503601216292,6888.654970954742
0.12346623330888579,6884.462473201621
0.12369858070164771,6884.168904845205
0.12393512919088129,6884.675909399404
0.12416803333175835,6884.521374013637
0.12439699037312962,6883.654870838749
0.12462166079015888,6882.020353462056
0.1248416569743648,6879.554417081313
0.12507038480442528,6878.718983017566
0.12531266061906937,6880.409708409444
0.12555182143614896,6881.5351476052965
0.12578762349378986,6882.054536789987
0.12601980147495717,6881.923895493356
0.1262480555079592,6881.093908620532
0.12647204480493812,6879.509008319159
0.12669137980977252,6877.106256194712
0.1269056123888042,6873.813967111104
0.1271363098794773,6873.500809944821
0.12737431836642726,6874.552875703057
0.1276089820584434,6875.008759426277
0.12784002959180932,6874.8240085888565
0.12806715901500032,6873.9496013880025
0.12829002679635423,6872.33024592484
