delta,R
0.0,0.0
0.005072463768115942,270.1524131407615
0.010144927536231883,537.879868450218
0.015217391304347825,797.3696706955207
0.020289855072463767,1048.132334771899
0.02536231884057971,1291.748842255215
0.03043478260869565,1529.7887120631094
0.03550724637681159,1763.3686310664507
0.04057971014492753,1993.2358032514685
0.04565217391304348,2219.849932777397
0.05072463768115942,2443.541263625375
0.055797101449275355,2664.4570623231903
0.0608695652173913,2882.643319056897
0.06594202898550725,3098.0739823123076
0.07101449275362318,3310.642639027028
0.07608695652173912,3520.1559279778576
0.08115942028985507,3726.323503872318
0.08623188405797101,3928.690524654803
0.09130434782608696,4126.5188895924075
0.09637681159420289,4314.272666229008
0.10144927536231883,4489.374896164609
0.10652173913043478,4653.492040744295
0.11159420289855071,4802.572280540062
0.11666666666666665,4927.546596779757
0.1217391304347826,5001.50287393044
0.12384160305517487,4992.081196536803
0.12520969328720058,4928.473038582257
0.1257332299303433,4804.283885335554
0.12575696689493313,4654.373194266304
0.12509564025242112,4472.292836065967
0.12354377150366273,4254.496956946845
0.1210794653489126,4010.2877984915303
0.11795987754008076,3758.4375029389485
0.11753795714399333,3727.1489520796003
0.11706674191738957,3712.2065836433644
0.11650128426810631,3694.275800475194
0.11582273531540939,3672.7588821148875
0.11500847669220647,3646.9385914472678
0.1140313664190818,3615.954249721676
0.11285883414209642,3578.7730444557565
0.11145179544615502,3534.1556015864758
0.10976334903815281,3480.6146727109376
0.10773721336929205,3416.36556002163
0.10530585058283226,3339.266626323102
0.10238821525191193,3246.747907093876
0.09924678596041643,3147.1326432390697
0.09610535667282728,3047.517379745246
0.0929639273882913,2947.902116532928
0.08982249810622744,2848.2868535449206
0.08668106882625586,2748.6715907450475
0.08353963954809925,2649.056328105731
0.08039821027156009,2549.4410656066843
0.07725678099650167,2449.8258032337603
0.07411535172282524,2350.2105409758083
0.0709739224504826,2250.595278827325
0.06783249317943074,2150.980016780236
0.06469106390967569,2051.3647548338395
0.061549634641236674,1951.749492985675
0.05840820537417483,1852.1342312386444
0.05526677610856673,1752.5189695945016
0.052125346844538366,1652.9037080598832
0.04898391758225596,1553.2884466435883
0.04584248832193941,1453.673185357462
0.042701059063892176,1354.057924219218
0.039559629808517204,1254.4426632522782
0.03641820055635464,1154.8274024888974
0.03327677130815961,1055.2121419744865
0.030135342065002225,955.5968817752371
0.026993912828436273,855.9816219865615
0.023852483600828867,756.3663627560896
0.02071105438595346,656.7511043204702
0.01756962519023762,557.1358470867142
0.014428196025601539,457.52059181613555
0.011286766916976712,357.90534012164335
0.008145337926910988,258.290096122386
0.005003909271508616,158.67487446613166
0.0018624826191836988,59.0597951198246
