delta,R
0.0,-7.060647867751854e-05
0.00423728813559322,460.54924686557627
0.00847457627118644,917.1982935598703
0.012711864406779662,1369.587982258355
0.01694915254237288,1817.3107847060419
0.0211864406779661,2259.902259318984
0.025423728813559324,2696.830872035971
0.029661016949152543,3127.4856903278715
0.03389830508474576,3551.1614884175265
0.038135593220338986,3967.040723045561
0.0423728813559322,4374.171779944404
0.046610169491525424,4771.442879141682
0.05084745762711865,5157.335265492643
0.05508474576271186,5528.689454841829
0.059322033898305086,5881.105769807159
0.0635593220338983,6209.390777960166
0.06779661016949153,6507.01166797407
0.07203389830508475,6766.02603185122
0.07627118644067797,6977.303264407001
0.08050847457627118,7131.945171926263
0.0847457627118644,7224.414764084577
0.08898305084745763,7256.609283360458
0.09322033898305085,7240.064168227336
0.09745762711864407,7191.987154145218
0.1016949152542373,7129.585868141257
0.1059322033898305,7065.360109153762
0.11016949152542373,7007.146921873482
0.11039615411967899,7004.278321102815
0.11062293203721912,7001.460630398916
0.11084971025776023,6998.672156342349
0.11107642625982006,6995.901002648702
0.11130310424556192,6993.151632954264
0.11152976886070956,6990.428574156767
0.11175644473442109,6987.736328772857
0.11198315640162503,6985.079360705502
0.11220992819171913,6982.462076510963
0.11243678399450918,6979.888782766876
0.11266366638617284,6977.348617236184
0.11289053037004583,6974.833065058233
0.11311739910837909,6972.346313222353
0.11334429573638166,6969.892526114936
0.11357124324268511,6967.475824198501
0.11379826224670003,6965.099872202871
0.1140252812824614,6962.751313291188
0.11425227239678509,6960.424862691293
0.11447925767803091,6958.124473809285
0.11470625925480334,6955.854090978262
0.11493329919239434,6953.617630989856
0.11516039942693163,6951.41897121687
0.11538758173433374,6949.261942667386
0.11561486758676343,6947.150305825458
0.11584220415286087,6945.0742453533585
0.11606954508684825,6943.025159624968
0.11629691116664918,6941.006700503127
0.11652432315366232,6939.0225023405665
0.11675180168659205,6937.076163197284
0.1169793672086924,6935.1712325088665
0.11720697710654554,6933.299835619195
0.11743457631728958,6931.451871053323
0.1176621844930287,6929.630762906698
0.11788982149707261,6927.839959737505
0.11811750715046151,6926.082889336026
0.11834526117230601,6924.362948263505
0.1185731031083118,6922.683489919798
0.11880105229880872,6921.047818076246
0.11902910949446982,6919.4558972669365
0.11925719393805803,6917.893119045394
0.11948530926592278,6916.3599946794375
0.11971347411484756,6914.859707754077
0.1199417070430353,6913.395416455251
0.12017002647079592,6911.970243123491
0.12039844684468892,6910.586594134124
0.120626897706343,6909.231812318495
0.12085535951505044,6907.902300375118
0.12108385004670955,6906.601073585411
0.12131238709463178,6905.331139522504
0.1215409883944502,6904.095484976231
0.12176967157619564,6902.897067620471
0.12199845410547525,6901.7388063397275
0.12222735322930614,6900.62357227438
0.12245636981548749,6899.551352970667
0.12268542735420444,6898.508571606425
0.12291452752090518,6897.495383847921
0.1231436869800331,6896.514566205246
0.12337292232515935,6895.5688734905025
0.12360225002618574,6894.661029709109
0.1238316863760423,6893.793719418911
0.12406118757630555,6892.9591682117625
0.12429070838114076,6892.149372366922
0.12452026463268007,6891.36695653735
0.12474987223401864,6890.614546351954
0.12497954704460276,6889.8947511874285
0.12520930483799356,6889.210157002042
0.12543916125570284,6888.5633187474305
0.12566913175314903,6887.956751841374
0.12589923156206667,6887.392925884243
0.12612942495563967,6886.86553616892
0.1263596618693273,6886.365830230719
0.1265899568941093,6885.896184184205
0.1268203248575735,6885.459006975135
0.12705078049610147,6885.056684380457
0.12728133840664496,6884.69157137014
0.12751201136605206,6884.365704599976
0.12774274135736582,6884.069037221948
0.12797350386796597,6883.797262284559
0.12820431301512725,6883.552663012026
0.1284351829431649,6883.337519580272
