delta,R
0.0,2.7027304507744796e-06
0.005072463768115942,269.6479053792251
0.010144927536231883,538.0669152089558
0.015217391304347825,804.7831616523035
0.020289855072463767,1068.9858078327006
0.02536231884057971,1329.198507730871
0.03043478260869565,1584.027072940944
0.03550724637681159,1832.913655126922
0.04057971014492753,2075.6201532862315
0.04565217391304348,2312.0447227148725
0.05072463768115942,2542.0889742371673
0.055797101449275355,2765.5948461660773
0.0608695652173913,2982.3181302527337
0.06594202898550725,3191.920082471943
0.07101449275362318,3393.9615640514785
0.07608695652173912,3587.9098886884003
0.08115942028985507,3773.138047219745
0.08623188405797101,3948.9330018627516
0.09130434782608696,4114.503123606264
0.09637681159420289,4268.978928475208
0.10144927536231883,4411.378514597745
0.10652173913043478,4540.411525034688
0.11159420289855071,4653.495274492452
0.11666666666666665,4737.209421196203
0.116657211341551,4605.54447461452
0.11638984060054251,4578.837491832962
0.11587931592332736,4558.753049046309
0.1152666877518908,4534.651875109738
0.11453153447036862,4505.730523637962
0.11364935081046194,4471.024932224698
0.11259073059154374,4429.3782414188
0.11132038644638471,4379.402225288718
0.10979597355654509,4319.431015143569
0.10796667815152221,4247.465569822908
0.10577152371347005,4161.10704067402
0.10313733842518567,4057.476809771465
0.09997631610882722,3933.120535909043
0.0965728311134932,3799.225654357767
0.09316934612714974,3665.330773772961
0.08976586114776629,3531.435893931188
0.08636237617399428,3397.54101468322
0.08295889120490414,3263.646135925227
0.07955540623983366,3129.7512575821765
0.07615192127830192,2995.8563795984533
0.07274843631995993,2861.961501931928
0.06934495136456215,2728.0666245523075
0.06594146641193568,2594.1717474346756
0.06253798146198322,2460.2768705628146
0.05913449651466501,2326.3819939245154
0.055731011570006685,2192.487117512868
0.05232752662810176,2058.59224132713
0.048924041689116717,1924.6973653704426
0.045520556753316684,1790.8024896531217
0.042117071821088065,1656.9076141931964
0.03871358689298198,1523.0127390186722
0.03531010196978845,1389.117864172157
0.031906617052648155,1255.2229897174586
0.028503132143248223,1121.3281157514896
0.025099647244173493,987.4332424250816
0.02169616235958134,853.5383699853264
0.018292677496605046,719.6434988613318
0.014889192668630043,585.7486298705809
0.011485707904175172,451.8537647852487
0.008082223277259819,317.9589083191373
0.004678739063769346,184.06407878217
0.0012752582749789277,50.169499317978236
