delta,R
0.0,0.0
0.005072463768115942,270.1524131407615
0.010144927536231883,540.3048262815207
0.015217391304347825,809.6998375809426
0.020289855072463767,1075.4136529956122
0.02536231884057971,1336.2509560322724
0.03043478260869565,1591.3133468682918
0.03550724637681159,1840.349895677
0.04057971014492753,2083.4236567602056
0.04565217391304348,2320.691540168482
0.05072463768115942,2552.4854577001406
0.055797101449275355,2779.144014885751
0.0608695652173913,3000.8722545529236
0.06594202898550725,3217.977368068059
0.07101449275362318,3430.6278950558954
0.07608695652173912,3639.234100962476
0.08115942028985507,3843.8493684788045
0.08623188405797101,4044.71297289012
0.09130434782608696,4242.103320473161
0.09637681159420289,4436.089667491797
0.10144927536231883,4626.921310552807
0.10652173913043478,4814.634933070192
0.11159420289855071,4999.408560255615
0.11666666666666665,5181.317652023026
0.1217391304347826,5360.400283673225
0.12308212134093266,5404.337305532161
0.12348805298811853,5392.375503638252
0.12433030511519594,5416.098835995384
0.12469476268603313,5379.295097894142
0.12545751089328475,5366.235803800796
0.12605099905458098,5372.224323216153
0.12654697192008713,5358.397241431176
0.12736042335533185,5363.308043822598
0.12788760252519538,5328.011994551949
0.12874205356002427,5306.718505783023
0.1286576873252006,5213.152035814757
0.12850758914291704,5155.917155461425
0.12853117147431983,5155.835048474604
0.1285077954861883,5153.544172856372
0.12847400361766634,5152.186452925818
0.12843347966358606,5150.560150318379
0.12838486056407097,5148.609671207479
0.12832652277682557,5146.269672572269
0.12825652063256668,5143.4620334337305
0.12817252023671047,5140.093110787033
0.128071721325039,5136.050579013028
0.12795076379501671,5131.199671466166
0.12780561564799517,5125.378682135002
0.12763143856334494,5118.3935725342
0.12742242660767614,5110.011502246233
0.12717161269633137,5099.953066743933
0.12687063635299078,5087.882983427233
0.12650946502460775,5073.398915258664
0.12607605966141489,5056.018059349394
0.12555597341431082,5035.161053425552
0.12493187007259464,5010.132663680144
0.1241829461898673,4980.098610265089
0.123284237635573,4944.057757940574
0.12220578745713363,4900.808744875853
0.12091164731474713,4848.909937243005
0.11935867920331356,4786.631374747407
0.11749511751888307,4711.8971052781
0.11525884353849447,4622.215986501453
0.11257531479605916,4514.598647781448
0.10988304328286004,4406.630699353344
0.10719077177940821,4298.662752011327
0.10449850028369163,4190.694805530055
0.10180622879428274,4082.7268597485904
0.09911395731014667,3974.7589145499787
0.09642168583050471,3866.7909698471567
0.09372941435475612,3758.8230255714784
0.0910371428824257,3650.8550816686716
0.08834487141313903,3542.8871380964397
0.08565259994659195,3434.9191948195817
0.08296032848253249,3326.9512518086144
0.08026805702076173,3218.9833090402153
0.07757578556111334,3111.015366494672
0.07488351410344572,3003.0474241541433
0.07219124264764798,2895.0794820042256
0.06949897119363811,2787.1115400347235
0.06680669974134106,2679.1435982334606
0.06411442829071388,2571.175656594182
0.06142215684172273,2463.207715108824
0.058729885394358645,2355.239773773568
0.05603761394862624,2247.271832583554
0.0533453425045621,2139.3038915381244
0.05065307106221564,2031.3359506357515
0.04796079962167529,1923.3680098788454
0.04526852818305923,1815.4000692700536
0.04257625674653412,1707.4321288165336
0.03988398531232553,1599.46418852736
0.03719171388073354,1491.496248416112
0.03449944245217262,1383.528308503744
0.03180717102719626,1275.5603688164683
0.029114899606582877,1167.5924293945075
0.026422628191429657,1059.6244902943752
0.02373035678333527,951.6565515998634
0.021038085384710237,843.688613438633
0.018345813999351448,735.720676013858
0.01565354263359273,627.7527396681129
0.012961271298829765,519.784805025465
0.01026900001783956,411.8168733545548
0.00757672884387627,303.8489476935861
0.0048844579392096485,195.8810376765429
0.002192188193565547,87.91320094288018
