delta,R
0.0,0.0
0.00423728813559322,609.1416972411464
0.00847457627118644,1218.2833944823053
0.012711864406779662,1827.4250917234474
0.01694915254237288,2436.566788964596
0.0211864406779661,3045.7084862057272
0.025423728813559324,3646.8921900137207
0.029661016949152543,4229.1921949913
0.03389830508474576,4791.756900053159
0.038135593220338986,5333.387795252247
0.0423728813559322,5854.799374231288
0.046610169491525424,6356.743457927614
0.05084745762711865,6840.154107304811
0.05508474576271186,7305.482795696707
0.059322033898305086,7754.566586462865
0.0635593220338983,8188.520588437179
0.06779661016949153,8608.420489216063
0.07203389830508475,9015.312300918822
0.07627118644067797,9383.643196562956
0.08050847457627118,9388.104413200526
0.0847457627118644,9119.366170928082
0.08898305084745763,8923.26580464884
0.09322033898305085,8776.154341606849
0.09745762711864407,8663.0576138646
0.1016949152542373,8583.653937765863
0.1059322033898305,8555.741778572952
0.11016949152542373,8524.676604461332
0.11440677966101695,8542.83735734301
0.11864406779661017,8555.949522623101
0.1228813559322034,8600.559617936842
0.1271186440677966,8659.550349153851
0.1313559322033898,8740.55994041426
0.13559322033898305,8828.295817599164
0.1398305084745763,8922.90984759059
0.1440677966101695,9026.37292184323
0.1483050847457627,9145.814229748485
0.15254237288135591,9274.546624365948
0.15677966101694915,9411.979743761185
0.1610169491525424,9547.999627093777
0.1652542372881356,9691.284691028832
0.1694915254237288,9846.553256111993
0.17372881355932202,9996.559450658651
0.17796610169491525,10160.412489842283
0.1822033898305085,10326.62429378628
0.1864406779661017,10491.160161984071
0.1906779661016949,10665.883350520844
0.19491525423728814,10835.767989529768
0.19915254237288135,11013.292707863484
0.2033898305084746,11189.662937892626
0.2076271186440678,11368.513052047501
0.211864406779661,11555.048202915768
0.21610169491525424,11737.284825646648
0.22033898305084745,11928.715901514533
0.2245762711864407,12112.932622795524
0.2288135593220339,12299.953434092959
0.2330508474576271,12498.87056412661
0.23728813559322035,12686.754775405134
0.24152542372881355,12878.19756457995
0.2457627118644068,13077.903815000464
0.25,13270.41094074666
