delta,R
0.0,0.0
0.005072463768115942,270.1524131407615
0.010144927536231883,540.3048262815207
0.015217391304347825,809.6900018900101
0.020289855072463767,1075.3100962717735
0.02536231884057971,1335.8518782152214
0.03043478260869565,1590.1782309257032
0.03550724637681159,1837.8098876783315
0.04057971014492753,2078.548166599603
0.04565217391304348,2312.3542197012875
0.05072463768115942,2539.240785406955
0.055797101449275355,2759.2273149301036
0.0608695652173913,2972.3173959375345
0.06594202898550725,3178.4872059373993
0.07101449275362318,3377.6829179525885
0.07608695652173912,3569.8151896570926
0.08115942028985507,3754.753314139307
0.08623188405797101,3932.3183117341796
0.09130434782608696,4102.273307866053
0.09637681159420289,4264.308797692629
0.10144927536231883,4417.920747296666
0.10652173913043478,4562.465467548682
0.11159420289855071,4696.837401925804
0.11666666666666665,4817.560822553605
0.11767545717588995,4759.116488886155
0.11761584469902354,4753.272565713248
0.11749835274996563,4748.5234925402365
0.1173573709516809,4742.825553216698
0.1171881958992144,4735.988370831801
0.11698518748192314,4727.783934674818
0.11674157840503219,4717.938724952132
0.11644924820819956,4706.124550488846
0.11609845247083084,4691.947596509888
0.11567749795708594,4674.93529293107
0.11517235282386085,4654.520560082246
0.11456617888432179,4630.022905122997
0.11383877033068514,4600.625738465616
0.11296588020494004,4565.349153864385
0.11191841216552469,4523.017264717654
0.1106614506084896,4472.219007759069
0.10915309681353606,4411.261107564908
0.10734307231967889,4338.111633999433
0.10517104297637296,4250.332271190486
0.10256460780503462,4144.997040321777
0.09943688563302429,4018.594766997746
0.09630407264693637,3891.9867568573063
0.09317125967089797,3765.378747817365
0.09003844670287724,3638.770739650874
0.08690563374145872,3512.1627321994174
0.08377282078561514,3385.5547253465834
0.08064000783458945,3258.946719007509
0.07750719488780089,3132.3387131147
0.07437438194481193,3005.7307076173806
0.07124156900528149,2879.1227024741047
0.0681087560689536,2752.5146976538604
0.06497594313563665,2625.9066931308107
0.0618431302051955,2499.2986888853197
0.0587103172775487,2372.6906849019056
0.05557750435266811,2246.0826811707693
0.052444691430576174,2119.474677685631
0.04931187851135354,1992.866674444012
0.04617906559515463,1866.2586714495064
0.04304625268221624,1739.6506687103447
0.0399134397728945,1613.0426662430832
0.036780626867698694,1486.4346640730992
0.03364781396735913,1359.826662238867
0.030515001072939182,1233.2186607996105
0.027382188186011933,1106.6106598442564
0.02424937530898079,980.0026595108909
0.02111656244567552,853.3946600231429
0.017983749602553997,726.7866617617966
0.014850936791366157,600.1786654282192
0.011718124035908502,473.57067246520984
0.008585311392789667,346.9626863811536
0.005452499039789419,220.35471860189202
0.002319688035791859,93.74684248408903
