delta,R
0.0,-1.247136403420539e-08
0.1348314606741573,3.4442179276663865
0.2696629213483146,6.881050159078086
0.4044943820224719,10.309926161282874
0.5393258426966292,13.730207564617558
0.6741573033707865,17.141176369045752
0.8089887640449438,20.54202066358357
0.9438202247191011,23.931816943099875
1.0786516853932584,27.3095079949735
1.1010305014558555,27.868867169540607
1.1234069190958254,28.427797105308308
1.1457808755152707,28.98628683756707
1.1681523289173936,29.544329082042353
1.1905212364738973,30.101916379384566
1.2128875542390674,30.659041075464017
1.2352512371090463,31.2156953232667
1.2576122387839983,31.771871070844966
1.2799705117224265,32.327560055460026
1.302326007094123,32.88275379489425
1.3246786747379276,33.437443581886725
1.3470284631111535,33.99162047219313
1.36937531922923,34.54527528024429
1.3917191886337994,35.09839857014592
1.4140600153089782,35.650980640613156
1.4363977416457234,36.20301152251314
1.4587323083679444,36.754480963813194
1.4810636544723743,37.30537841948373
1.5033917171625333,37.85569304810221
1.5257164317706413,38.40541368102856
1.5480377316959903,38.95452883610687
1.5703555483229277,39.503026685012955
1.5926698109297601,40.05089504292507
1.6149804466251112,40.5981213683412
1.6372873802388255,41.14469273059085
1.6595905342402308,41.69059580217349
1.6818898286420874,42.23581684942202
1.7041851808884974,42.780341701644105
1.72647650576112,43.324155745427035
1.7487637152566091,43.86724390411943
1.771046718472776,44.4095906097106
1.7933254214907286,44.95117979957889
1.8155997272358737,45.49199487909203
1.8378695353553594,46.03201870732395
1.860134742055977,46.57123357449622
1.882395239974569,47.109621175342646
1.9046509178845255,47.64716256784308
1.9269015114328298,48.18381171184036
1.9491448024670448,48.719175313948675
1.9713798883091718,49.253094892826454
1.9936065266518876,49.78552944267224
2.015824467005274,50.316436694192944
2.038033451712077,50.845773287845184
2.0602332160637147,51.373494790136014
2.082423488319318,51.89955570882812
2.1046039897803905,52.42390951607355
2.1267744349054194,52.946508694724585
2.14893453141637,53.46730474821481
2.1710839805124627,53.986248269147445
2.1932224770632702,54.5032889697749
2.2153497098936317,55.01837575779425
2.2374653621072973,55.53145680345081
2.2595691114419925,56.04247960540958
2.281660630702325,56.55139109496705
2.3037395882332525,57.05813771373925
2.3258056484561247,57.56266554152595
2.34785847243777,58.06492038352477
2.369897718549862,58.5648479200984
2.3919230431479805,59.062393821212915
2.4139338473540715,59.55746028065481
2.435925333373728,60.049230224770284
2.4578949415630547,60.53727404127155
2.4798415173577966,61.021404875307496
2.501763862152455,61.50142985319482
2.5236607280045873,61.97714950995763
2.545530728504196,62.44834385204412
2.567372431047918,62.914787154127055
2.5891844519525664,63.37626339743216
2.6109653952578507,63.83255694544741
2.6327138806925143,64.28345729641788
2.654428570151542,64.72876360682244
2.676108199167211,65.16828994295409
2.6977463468807814,65.6010006269432
2.7193270125090265,66.02429567156028
2.740843918670998,66.43720527492648
2.762290964479127,66.83880630905044
2.7836619329140637,67.22817590017597
2.8049508671899153,67.60445383681063
2.826152649938005,67.96693533306802
2.8472638072389476,68.31519566294727
