delta,R
0.0,0.0
0.013559322033898306,290.5833883162825
0.027118644067796613,581.1667766325837
0.04067796610169492,871.7501649488753
0.054237288135593226,1156.7282284276844
0.06779661016949154,1433.227696747084
0.08135593220338984,1699.053580370089
0.09491525423728814,1955.5381231697822
0.10847457627118645,2202.2989792622616
0.12203389830508476,2439.604187724708
0.13559322033898308,2669.3314751968865
0.14915254237288136,2808.36079007953
0.16271186440677968,2685.037206120537
0.176271186440678,2571.853766531949
0.18983050847457628,2469.0346544740464
0.2033898305084746,2375.4700296087663
0.2169491525423729,2290.319783929631
0.23050847457627122,2210.788133005308
0.24406779661016953,2130.603587595424
0.25762711864406784,2109.5076087529424
0.27118644067796616,2046.200120894
0.2847457627118644,2023.67428711495
0.2983050847457627,1969.731393472589
0.31186440677966104,1954.6911925220547
0.3126966116332064,1955.6679523993485
0.3134998139767638,1955.8426115662774
0.31430300322779536,1956.0169105908312
