delta,R
0.0,0.0
0.00423728813559322,462.3905349190977
0.00847457627118644,924.7810698381704
0.012711864406779662,1387.171604757292
0.01694915254237288,1849.5621396763624
0.0211864406779661,2311.9526745954886
0.025423728813559324,2771.6589325423024
0.029661016949152543,3219.144813761361
0.03389830508474576,3650.352361367111
0.038135593220338986,4065.4025022385827
0.0423728813559322,4462.27036991497
0.046610169491525424,4841.0752995170105
0.05084745762711865,5200.468158715853
0.05508474576271186,5539.143337091418
0.059322033898305086,5855.748214344344
0.0635593220338983,6148.796582856644
0.06779661016949153,6416.577718721901
0.07203389830508475,6657.05229592505
0.07627118644067797,6867.724353021208
0.08050847457627118,7045.474623236491
0.0847457627118644,7186.333726147077
0.08898305084745763,7283.317714909726
0.09322033898305085,7328.246250695065
0.09745762711864407,7304.912198125521
0.1016949152542373,7205.29815266932
0.1059322033898305,7105.304153586376
0.11016949152542373,7027.349262187317
0.1103953522192446,7024.205712421541
0.11062060794245608,7020.952250503911
0.11083896417548914,7016.447832805807
0.1110597607957135,7012.455051882521
0.11128537539926903,7009.475728515063
0.11151099114536311,7006.49662030706
0.11173660686672572,7003.517507517846
0.11196222256334934,7000.538390145311
0.11218783823622437,6997.5592683722425
0.11241284516392214,6994.47029723197
0.11263132465820022,6990.211688808767
0.11285700382280714,6987.447507942151
0.11308268476693031,6984.683658581842
0.11330836568739155,6981.919804885456
0.11353404658350111,6979.155946725501
0.11375905867399612,6976.2725893059305
0.11398125505583366,6972.9981770365475
0.11420667401596885,6970.386843642385
0.11443209380824232,6967.775663561635
0.1146575135750178,6965.16447886063
0.11488293331652358,6962.553289579563
0.11510835303377061,6959.942095901715
0.11533377272771814,6957.330897999282
0.11555919239927549,6954.719696037478
0.11578587120047124,6952.519821887339
0.11601140513061539,6950.1230844407555
0.116236937968375,6947.7261512465475
0.11646247077972458,6945.329213316059
0.11668800356697834,6942.932271064672
0.11691587503667769,6941.009710623829
0.11714413347850908,6939.277891396604
0.11736946521655353,6937.03596650538
0.11759479424033453,6934.793560330154
0.11782012323444466,6932.551148894889
0.11804545220333325,6930.308732987295
0.11827078114799797,6928.066312782923
0.11849611006937345,6925.823888446907
0.11872501452961401,6924.298154062107
0.11895701744875177,6923.395866369621
0.11918262271676135,6921.386356868105
0.11940811718338268,6919.35777378042
0.11963361152361764,6917.329168511232
0.11985910583943338,6915.3005589561
0.12008929968845283,6914.205099404044
0.1203213978297322,6913.4892165261945
0.12055000300422088,6912.172855757157
0.12077535881468295,6910.301708827375
0.1210007114051411,6908.430002939821
0.12122606396567087,6906.5582918588025
0.12145141650154706,6904.686576498051
0.12167676901373337,6902.814857024786
0.12190629364609604,6901.761015727085
0.12213821403508283,6901.178686714977
0.12237013515877948,6900.596488174127
0.12259820643762648,6899.360145268545
0.12282378338073185,6897.702747206772
0.12304935783991526,6896.044922292276
0.12327887099728516,6895.151431875582
0.12351094071850637,6894.756054319325
0.12374301127018861,6894.360822677326
0.12397508180263801,6893.965587705671
0.12420130463201183,6892.588205712951
0.12442680471967363,6891.090249302715
0.12465230405631712,6889.592165192044
0.12487780336736909,6888.094076732177
0.12510492847542998,6886.907140644112
0.12533688356835676,6886.648414793548
0.12556884029251658,6886.389972452431
0.12580079699873042,6886.131527037996
0.1260327536857171,6885.873078330777
0.12626077514265852,6884.959721196374
0.12648659080548452,6883.68242990186
0.12671875260559304,6883.611561474174
0.12695091666403124,6883.541081448833
0.12718308070425954,6883.470598337849
0.12741524472412596,6883.400111775041
0.12764740872434083,6883.3296218810265
0.1278754442882088,6882.57861224642
0.1281012245437797,6881.458393059848
0.12832700230078553,6880.337757760703
