delta,R
0.0,0.0
0.1348314606741573,3.4477360587465
0.2696629213483146,6.895472117020063
0.4044943820224719,10.343208175561358
0.5393258426966292,13.790944233960545
0.6741573033707865,17.238680292380195
0.8089887640449438,20.686416350131367
0.9438202247191011,24.1341524087602
1.0786516853932584,27.56053530434656
1.168104108743571,29.78585580218111
1.2575565326281397,32.0111763953323
1.3470089563490428,34.236496959854804
1.4364613799469046,36.46181750284861
1.5259138034511248,38.687138029652374
1.615147852999418,40.87370241702221
1.7042633564218923,43.03929793665702
1.7933788580416974,45.204893137935244
1.8824943594665222,47.3704883039707
1.9716098607397856,49.536083442584236
2.06044421398936,51.652939578153045
2.14917336682696,53.7516282786007
2.237902517720519,55.85031664261318
2.3266316683571198,57.94900496165105
2.415360818788036,60.047693244198555
2.5040899690639,62.14638149860118
2.59281911920985,64.24506973014668
2.681338135058637,66.30830961673409
2.76973845433537,68.35159177984036
2.858138771242948,70.39487354565965
2.9465390879179254,72.43815526715446
3.0349394044199087,74.4814369652824
3.0377014887448324,74.54521713750154
3.0385293720307267,74.56422500916437
3.0385521593201705,74.5637290727136
