delta,P
0.0,0.0
0.05,1.9067328368368834
0.1,3.8134656736706214
0.15000000000000002,5.720198510489434
0.2,7.626931347326958
0.25,9.53366418415013
0.30000000000000004,11.440397021020733
0.35000000000000003,13.347129857807603
0.4,15.253862694620887
0.45,17.094964627314045
0.5,18.77889410749151
0.55,20.357140733151084
0.6000000000000001,21.888566522195234
0.65,23.4083026450195
0.7000000000000001,24.930605858995214
0.75,26.458452914583255
0.8,27.922913712201062
0.8500000000000001,29.25095784273522
0.9,30.400673468529618
0.9500000000000001,31.436235543279352
1.0,32.42102840829941
1.05,33.296968805797434
1.1,33.22950043033908
1.1500000000000001,33.222530059715304
1.2000000000000002,33.31424391602478
1.25,32.58179478905626
1.2999999999999998,32.376972566322294
1.3499999999999999,31.75910946415231
1.4,31.479617991353617
1.45,30.923957766000974
1.5,30.348867281288225
1.5499999999999998,29.793937175865477
1.6,29.34630200470777
1.65,29.080525155803088
1.7,28.34213894273698
1.75,28.030926705346292
1.7999999999999998,27.47069185176292
1.85,27.181914631279188
1.9,26.779341591496575
1.95,26.2503153746252
2.0,25.996748744068782
2.05,25.556359796945742
2.1,25.33476715086369
2.15,24.936577172780634
2.2,24.50196409815762
2.25,24.295989949881758
2.3,23.905385317297114
2.35,23.707893161814237
2.4,23.441161743514424
2.45,23.005394216233384
2.5,22.838764845978016
